,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Denton.prop1 &export.q) ,,RMSE(Denton.prop2 & export.q) ,,RMSE(Denton.prop1 & indicator.q) ,,RMSE(Denton.prop2 & indicator.q) ,,RMSE(Denton.prop1 &export.q) ,RMSE(Denton.prop2 & export.q) 
Quarters,Denton.prop1,Denton.prop1,Denton.prop1,Denton.prop2 ,Denton.prop2 ,Denton.prop2 ,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,,
2013q4,6838.744531,-1.466982125,10.02669417,6814.939185,-2.08259783,9.054992717,7209,3.428981349,14.28344959,2921,3.813484025,0.509256073,-4.895963473,-4.256755418,-5.511579179,-5.228456871,-5.280466149,9.517438097,-5.896081855,8.545736643,-370.255469,-394.0608152
2014q1,7668.445581,12.13235918,16.95612262,7781.334553,14.18054281,19.10679502,7536,4.535996671,21.82347236,3670.5,25.65902088,32.3704425,7.596362511,-4.867349739,9.644546137,-2.716677335,-13.5266617,-15.41431988,-11.47847808,-13.26364748,132.445581,245.3345533
2014q2,6370.615568,-16.92429058,2.256936141,6380.807114,-17.99855063,1.960746147,6975,-7.444267516,12.48185776,3262.2,-11.12382509,29.34972244,-9.480023063,-10.22492162,-10.55428312,-10.52111162,-5.800465487,-27.0927863,-6.874725541,-27.3889763,-604.384432,-594.1928862
2014q3,8641.321093,35.6434241,24.5046429,8599.802668,34.77609516,23.56241392,7451,6.82437276,6.901004304,4502.3,38.01422353,60.01350535,28.81905135,17.6036386,27.9517224,16.66140961,-2.370799425,-35.50886245,-3.238128371,-36.45109143,1190.321093,1148.802668
2014q4,7084.617759,-18.01464518,3.595297746,7003.055665,-18.56725164,2.760354502,7803,4.724198094,8.239700375,3494,-22.39522022,19.61656967,-22.73884328,-4.644402628,-23.29144974,-5.479345873,4.380575038,-16.02127192,3.827968578,-16.85621517,-718.382241,-799.9443346
2015q1,7264.345198,2.536868538,-5.269651831,7101.900786,1.411457018,-8.731584056,7583,-2.819428425,0.623673036,3234.2,-7.435603892,-11.88666394,5.356296963,-5.893324868,4.230885443,-9.355257092,9.972472431,6.617012111,8.84706091,3.155079887,-318.654802,-481.0992139
2015q2,7220.598107,-0.602216577,13.34223561,7180.772398,1.110570452,12.53705479,7114,-6.184887248,1.992831541,3002.3,-7.170243028,-7.967016124,5.582670671,11.34940407,7.295457699,10.54422325,6.568026451,21.30925174,8.280813479,20.50407092,106.598107,66.77239772
2015q3,6989.18128,-3.204953711,-19.11906519,7059.929064,-1.682873747,-17.90591788,7861,10.5004217,5.502617098,2786,-7.204476568,-38.12051618,-13.70537541,-24.62168229,-12.18329545,-23.40853498,3.999522857,19.00145099,5.521602821,20.2145983,-871.81872,-801.0709358
2015q4,9222.875415,31.95931033,30.18169404,9354.397752,32.49988303,33.57594454,8210,4.439638723,5.215942586,3601.2,29.26058866,3.068116772,27.51967161,24.96575145,28.06024431,28.36000196,2.698721675,27.11357727,3.239294371,30.50782777,1012.875415,1144.397752
2016q1,7140.41682,-22.57927708,-1.705981401,7252.9922,-22.46435963,2.127478524,7640,-6.942752741,0.751681393,2803.3,-22.15650339,-13.32323295,-15.63652434,-2.457662794,-15.52160689,1.375797132,-0.422773696,11.61725155,-0.307856238,15.45071147,-499.58318,-387.0077999
2016q2,8125.978342,13.80257689,12.53885373,8169.615268,12.63786093,13.77070342,8089,5.876963351,13.70536969,3207,14.40088467,6.818106119,7.925613541,-1.166515965,6.760897579,0.065333723,-0.598307779,5.72074761,-1.763023742,6.952597298,36.978342,80.61526761
2016q3,8322.152074,2.414155241,19.07191616,8277.354213,1.318776239,17.24415553,8624,6.613920138,9.706144256,3300.9,2.927970065,18.48169419,-4.199764898,9.365771904,-5.295143899,7.538011277,-0.513814825,0.590221975,-1.609193826,-1.237538652,-301.847926,-346.6457874
2016q4,9852.452764,18.38828078,6.826258847,9741.03832,17.6829947,4.133249172,9088,5.380333952,10.69427527,3926.5,18.95240692,9.033100078,13.00794682,-3.868016427,12.30266075,-6.561026102,-0.564126143,-2.20684123,-1.269412215,-4.899850905,764.452764,653.0383196
