,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Denton.additive1 &export.q) ,,RMSE(Denton.additive2 & export.q) ,,RMSE(Denton.additive1 &indicator.q) ,,RMSE(Denton.additive2 & indicator.q) ,,RMSE(Denton.additive1 &export.q) ,RMSE(Denton.additive2 & export.q) 
Quarters,Denton.additive1,Denton.additive1,Denton.additive1,Denton.additive2,Denton.additive2,Denton.additive2,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,Denton.additive1,Denton.additive2
2013q4,6863.210405,0.561680649,11.50774675,6886.650614,0.511542222,12.2940851,7209,3.428981349,14.28344959,2921,3.813484025,0.509256073,-2.8673007,-0.786338356,-2.917439126,-1.989364483,-3.251803376,10.99849068,-3.301941802,11.78482903,-345.789595,-322.349386
2014q1,7382.185026,7.561688924,14.67774358,7447.307662,8.141215221,16.58168488,7536,4.535996671,21.82347236,3670.5,25.65902088,32.3704425,3.025692253,-1.903941298,3.60521855,-5.241787478,-18.09733196,-17.69269892,-17.51780566,-15.78875762,-153.814974,-88.692338
2014q2,6880.600864,-6.794521679,6.831957128,6895.470277,-7.409891065,7.07770944,6975,-7.444267516,12.48185776,3262.2,-11.12382509,29.34972244,0.649745837,-0.245752312,0.034376451,-5.404148325,4.329303413,-22.51776531,3.713934027,-22.272013,-94.399136,-79.529723
2014q3,8164.657919,18.66199014,19.63085405,8132.449918,17.93901781,18.69414163,7451,6.82437276,6.901004304,4502.3,38.01422353,60.01350535,11.83761738,0.936712422,11.11464505,11.79313732,-19.35223339,-40.3826513,-20.07520572,-41.31936372,713.657919,681.449918
2014q4,7337.556192,-10.13026798,6.911427146,7289.772143,-10.36191779,5.85366605,7803,4.724198094,8.239700375,3494,-22.39522022,19.61656967,-14.85446608,1.057761095,-15.08611589,-2.386034324,12.26495224,-12.70514252,12.03330243,-13.76290362,-465.443808,-513.227857
2015q1,7396.195682,0.799169212,0.189790095,7325.876615,0.495275727,-1.630536195,7583,-2.819428425,0.623673036,3234.2,-7.435603892,-11.88666394,3.618597637,1.820326291,3.314704152,-2.254209231,8.234773104,12.07645404,7.93087962,10.25612775,-186.804318,-257.123385
2015q2,7434.203205,0.51387936,8.045842971,7414.917096,1.215424251,7.533160149,7114,-6.184887248,1.992831541,3002.3,-7.170243028,-7.967016124,6.698766607,0.512682822,7.400311499,5.540328608,7.684122387,16.0128591,8.385667279,15.50017627,320.203205,300.917096
2015q3,7439.278762,0.068273046,-8.884379042,7473.85365,0.794837666,-8.098374717,7861,10.5004217,5.502617098,2786,-7.204476568,-38.12051618,-10.43214866,-0.786004325,-9.705584037,-13.60099181,7.272749614,29.23613714,7.999314234,30.02214146,-421.721238,-387.14635
2015q4,8427.322351,13.28144328,14.85189524,8482.352639,13.49369464,16.35964023,8210,4.439638723,5.215942586,3601.2,29.26058866,3.068116772,8.841804554,-1.507744985,9.054055912,11.14369764,-15.97914538,11.78377847,-15.76689402,13.29152346,217.322351,272.352639
2016q1,7753.733973,-7.992911033,4.834083715,7794.086724,-8.114092213,6.39118202,7640,-6.942752741,0.751681393,2803.3,-22.15650339,-13.32323295,-1.050158293,-1.557098305,-1.171339473,5.639500627,14.16359235,18.15731666,14.04241117,19.71441497,113.733973,154.086724
