,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Den.chol.add1 &export.q) ,,RMSE(Den.chol.add2 & export.q) ,,RMSE(Den.chol.add1 &indicator.q) ,,RMSE(Den.chol.add2 & indicator.q) ,,RMSE(Den.chol.add1 &export.q) ,RMSE(Den.chol.add2 & export.q) 
Quarters,Den.chol.add1,Den.chol.add1,Den.chol.add1,Den.chol.add2,Den.chol.add2,Den.chol.add2,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,Absolute,Absolute
2013q4,6861.683409,0.558023861,11.36800917,6865.226918,0.431902946,10.99582049,7209,3.428981349,14.28344959,2921,3.813484025,0.509256073,-2.870957487,-2.915440417,-2.997078403,-3.287629094,-3.255460163,10.8587531,-3.381581078,10.48656442,-347.316591,-343.773082
2014q1,7381.543375,7.576274436,14.62025286,7433.931428,8.283841405,15.77914994,7536,4.535996671,21.82347236,3670.5,25.65902088,32.3704425,3.040277765,-7.203219501,3.747844734,-6.044322421,-18.08274645,-17.75018964,-17.37517948,-16.59129256,-154.456625,-102.068572
2014q2,6880.570011,-6.786837637,6.82934949,6893.588144,-7.268607321,6.972137956,6975,-7.444267516,12.48185776,3262.2,-11.12382509,29.34972244,0.657429878,-5.652508275,0.175660195,-5.509719808,4.336987454,-22.52037295,3.855217771,-22.37758449,-94.429989,-81.411856
2014q3,8164.963318,18.6669608,19.65760109,8138.946476,18.06545889,19.06523882,7451,6.82437276,6.901004304,4502.3,38.01422353,60.01350535,11.84258804,12.75659679,11.24108613,12.16423452,-19.34726273,-40.35590426,-19.94876464,-40.94826653,713.963318,687.946476
2014q4,7337.923296,-10.12913334,6.940569225,7298.533952,-10.32581461,6.311619982,7803,4.724198094,8.239700375,3494,-22.39522022,19.61656967,-14.85333144,-1.29913115,-15.0500127,-1.928080392,12.26608688,-12.67600044,12.06940561,-13.30494969,-465.076704,-504.466048
2015q1,7396.349944,0.796228655,0.200589067,7331.356209,0.449710274,-1.379824659,7583,-2.819428425,0.623673036,3234.2,-7.435603892,-11.88666394,3.61565708,-0.423083969,3.269138699,-2.003497695,8.231832548,12.08725301,7.885314166,10.50683928,-186.650056,-251.643791
2015q2,7434.210626,0.511883325,8.046435312,7415.697001,1.150411869,7.573833047,7114,-6.184887248,1.992831541,3002.3,-7.170243028,-7.967016124,6.696770572,6.05360377,7.335299117,5.581001506,7.682126352,16.01345144,8.320654897,15.54084917,320.210626,301.697001
2015q3,7439.205341,0.067185546,-8.888686314,7471.196332,0.748403434,-8.204380579,7861,10.5004217,5.502617098,2786,-7.204476568,-38.12051618,-10.43323616,-14.39130341,-9.75201827,-13.70699768,7.271662114,29.23182987,7.952880002,29.9161356,-421.794659,-389.803668
2015q4,8427.234089,13.28137486,14.84494657,8478.750458,13.48584726,16.17059691,8210,4.439638723,5.215942586,3601.2,29.26058866,3.068116772,8.841736138,9.629003989,9.046208539,10.95465433,-15.9792138,11.7768298,-15.7747414,13.10248014,217.234089,268.750458
2016q1,7753.696871,-7.992387667,4.831395617,7791.811885,-8.101884545,6.280634345,7640,-6.942752741,0.751681393,2803.3,-22.15650339,-13.32323295,-1.049634926,4.079714224,-1.159131805,5.528952952,14.16411572,18.15462856,14.05461884,19.60386729,113.696871,151.811885
