,,T-1,T-4,,T-1,T-4,,T-1,T-4,,T-1,T-4,RMSE(Den.chol.prop1 &export.q) ,,RMSE(Den.chol.prop2 & export.q) ,,RMSE(Den.chol.prop1 &indicator.q) ,,RMSE(Den.chol.prop2 & indicator.q) ,,RMSE(Den.chol.prop1 &export.q) ,RMSE(Den.chol.prop2 & export.q) 
Quarters,Den.chol.prop1,Den.chol.prop1,Den.chol.prop1,Den.chol.prop2,Den.chol.prop2,Den.chol.prop2,export.q,export.q,export.q,indicator.q,indicator.q,indicator.q,T-1,T-4,T-1,T-4,T-1,T-4,T-1,T-4,Absolute,Absolute
2013q4,6836.54501,-1.474615747,9.834035947,6785.080624,-2.222005062,7.323609088,7209,3.428981349,14.28344959,2921,3.813484025,0.509256073,-4.903597096,-4.449413641,-5.650986411,-6.9598405,-5.288099772,9.324779874,-6.035489087,6.814353014,-372.45499,-423.919376
2014q1,7667.24713,12.15090545,16.8731227,7757.210782,14.32746657,17.94401006,7536,4.535996671,21.82347236,3670.5,25.65902088,32.3704425,7.614908776,-4.950349658,9.791469897,-3.879462294,-13.50811544,-15.4973198,-11.33155432,-14.42643243,131.24713,221.210782
2014q2,6370.518906,-16.91256591,2.251063508,6377.112433,-17.79116731,1.795684928,6975,-7.444267516,12.48185776,3262.2,-11.12382509,29.34972244,-9.46829839,-10.23079426,-10.3468998,-10.68617284,-5.788740814,-27.09865893,-6.66734222,-27.55403751,-604.481094,-597.887567
2014q3,8642.005664,35.65622819,24.5449167,8613.23251,35.06477423,24.12300626,7451,6.82437276,6.901004304,4502.3,38.01422353,60.01350535,28.83185543,17.64391239,28.24040147,17.22200196,-2.35799534,-35.46858865,-2.949449301,-35.89049909,1191.005664,1162.23251
2014q4,7085.228301,-18.01407478,3.637558016,7017.444275,-18.52717006,3.424626233,7803,4.724198094,8.239700375,3494,-22.39522022,19.61656967,-22.73827288,-4.602142359,-23.25136816,-4.815074141,4.381145439,-15.97901165,3.868050158,-16.19194343,-717.771699,-785.555725
2015q1,7264.584684,2.531412897,-5.251721239,7110.406564,1.324731417,-8.338102911,7583,-2.819428425,0.623673036,3234.2,-7.435603892,-11.88666394,5.350841322,-5.875394275,4.144159842,-8.961775947,9.967016789,6.634942703,8.76033531,3.548561032,-318.415316,-472.593436
2015q2,7220.614222,-0.605271518,13.34420835,7182.085678,1.008087419,12.62284856,7114,-6.184887248,1.992831541,3002.3,-7.170243028,-7.967016124,5.57961573,11.35137681,7.192974667,10.63001702,6.56497151,21.31122448,8.178330446,20.58986469,106.614222,68.085678
2015q3,6989.08768,-3.206466027,-19.1265552,7056.506123,-1.748510957,-18.07366033,7861,10.5004217,5.502617098,2786,-7.204476568,-38.12051618,-13.70688773,-24.6291723,-12.24893266,-23.57627743,3.998010541,18.99396098,5.455965611,20.04685585,-871.91232,-804.493877
2015q4,9222.713414,31.95875966,30.16818968,9348.001635,32.47351412,33.21091367,8210,4.439638723,5.215942586,3601.2,29.26058866,3.068116772,27.51912094,24.95224709,28.03387539,27.99497108,2.698171001,27.10007291,3.212925459,30.1427969,1012.713414,1138.001635
2016q1,7140.35871,-22.57854723,-1.710021693,7249.612269,-22.44746469,1.957774197,7640,-6.942752741,0.751681393,2803.3,-22.15650339,-13.32323295,-15.63579449,-2.461703086,-15.50471195,1.206092804,-0.422043842,11.61321125,-0.2909613,15.28100714,-499.64129,-390.387731
2016q2,8125.969142,13.8033742,12.53847515,8168.703664,12.6778007,13.73720713,8089,5.876963351,13.70536969,3207,14.40088467,6.818106119,7.92641085,-1.166894542,6.800837349,0.031837439,-0.597510471,5.720369033,-1.723083971,6.919101014,36.969142,79.703664
2016q3,8322.177411,2.414582994,19.07387333,8278.836448,1.348228416,17.32203308,8624,6.613920138,9.706144256,3300.9,2.927970065,18.48169419,-4.199337144,9.367729073,-5.265691723,7.615888825,-0.513387071,0.592179145,-1.57974165,-1.159661104,-301.822589,-345.163552
2016q4,9852.494737,18.38842469,6.828590402,9743.847619,17.69585835,4.234551934,9088,5.380333952,10.69427527,3926.5,18.95240692,9.033100078,13.00809074,-3.865684872,12.3155244,-6.45972334,-0.563982227,-2.204509676,-1.256548568,-4.798548144,764.494737,655.847619
2017q1,8298.660798,-15.77096949,16.22190334,8183.966247,-16.00888512,12.88833035,7938,-12.6540493,3.90052356,3322,-15.3953903,18.50319267,-3.116920194,12.32137978,-3.354835828,8.987806785,-0.375579194,-2.281289327,-0.613494827,-5.61486232,360.660798,245.966247
